"file_path";"xpath";"content";"sentence";"paragraph";"kind";"simple_name";"fqn"
"math/doc/manual3.1/math/userguide/fraction.html";"/html/body/div[4]/div/div/div[3]/p[1]/tt[2]";"FractionFormat";"FractionFormat is a";"Fraction instances can be converted to and from strings
          using the
          FractionFormat class. FractionFormat is a
          java.text.Format extension and, as such, is used like other
          formatting objects (e.g. java.text.SimpleDateFormat):";"class";"FractionFormat";"org.apache.commons.math3.fraction.FractionFormat"
"math/doc/manual3.1/math/userguide/optimization.html";"/html/body/div[4]/div/div/div[1]/ul[2]/li[1]/a[1]";"UnivariateOptimizer";"UnivariateOptimizer for";"UnivariateOptimizer for 
              univariate real functions";"class";"UnivariateOptimizer";"org.apache.commons.math3.optim.univariate.UnivariateOptimizer"
"math/doc/manual3.1/math/userguide/special.html";"/html/body/div[4]/div/div/div[2]/p/a";"Erf";"Erf contains several useful functions involving the Error Function, Erf.";"Erf contains several useful functions involving the Error Function, Erf.";"unknown";"Erf";"org.apache.commons.math3.special.Erf"
"math/doc/manual3.1/math/userguide/special.html";"/html/body/div[4]/div/div/div[3]/p/a/tt";"Gamma";"Gamma";"Gamma";"unknown";"Gamma";"org.apache.commons.math3.special.Gamma"
"math/doc/manual3.1/math/userguide/optimization.html";"/html/body/div[4]/div/div/div[1]/ul[2]/li[2]/a[1]";"MultivariateOptimizer";"MultivariateOptimizer for";"MultivariateOptimizer for 
              multivariate real functions";"class";"MultivariateOptimizer";"org.apache.commons.math3.optimization.MultivariateOptimizer"
"math/doc/manual3.1/math/userguide/special.html";"/html/body/div[4]/div/div/div[3]/div[1]/p/tt";"Gamma.gamma(x)";"Gamma.gamma(x) computes the Gamma function, Γ(x) (see MathWorld, DLMF).";"Gamma.gamma(x) computes the Gamma function, Γ(x) (see MathWorld, DLMF). The accuracy of the Commons-Math implementation is assessed by comparaison with high precision values computed with the Maxima Computer Algebra System.";"class";"Gamma";"org.apache.commons.math3.special.Gamma"
"math/doc/manual3.1/math/userguide/special.html";"/html/body/div[4]/div/div/div[3]/div[1]/p/tt";"Gamma.gamma(x)";"Gamma.gamma(x) computes the Gamma function, Γ(x) (see MathWorld, DLMF).";"Gamma.gamma(x) computes the Gamma function, Γ(x) (see MathWorld, DLMF). The accuracy of the Commons-Math implementation is assessed by comparaison with high precision values computed with the Maxima Computer Algebra System.";"method";"gamma";"org.apache.commons.math3.special.Gamma.gamma"
"math/doc/manual3.1/math/userguide/fraction.html";"/html/body/div[4]/div/div/div[3]/p[2]/tt[2]";"FractionFormat";"a FractionFormat.";"To customize the formatting output, one or two
          java.text.NumberFormat instances can be used to construct
          a FractionFormat.  These number formats control the
          formatting of the numerator and denominator of the fraction:";"class";"FractionFormat";"org.apache.commons.math3.fraction.FractionFormat"
"math/doc/manual3.1/math/userguide/optimization.html";"/html/body/div[4]/div/div/div[1]/ul[2]/li[3]/a[1]";"DifferentiableMultivariateOptimizer";"DifferentiableMultivariateOptimizer for";"DifferentiableMultivariateOptimizer for 
              differentiable multivariate real functions";"class";"DifferentiableMultivariateOptimizer";"org.apache.commons.math3.optimization.DifferentiableMultivariateOptimizer"
"math/doc/manual3.1/math/userguide/random.html";"/html/body/div[4]/div/div/div[2]/dl/dd[1]/a[4]";"RandomDataImpl";"RandomDataImpl describes the algorithms used to generate";"There is no such thing as a single ""random number.""  What can be
    generated  are sequences of numbers that appear to be random.  When
    using the built-in JDK function Math.random(), sequences of 
    values generated follow the 
    
    Uniform Distribution, which means that the values are evenly spread
    over the interval  between 0 and 1, with no sub-interval having a greater
    probability of containing generated values than any other interval of the
    same length.  The mathematical concept of a
    
    probability distribution basically amounts to asserting that different
    ranges in the set  of possible values of a random variable have
    different probabilities of containing the value.  Commons Math supports
    generating random sequences from each of the distributions in the
    
    distributions package.
    The javadoc for the nextXxx methods in 
    
    RandomDataImpl describes the algorithms used to generate
    random deviates.";"class";"RandomDataImpl";"org.apache.commons.math3.random.RandomDataImpl"
"math/doc/manual3.1/math/userguide/fraction.html";"/html/body/div[4]/div/div/div[3]/p[3]/tt[1]";"FractionFormat";"FractionFormat.";"Formatting's inverse operation, parsing, can also be performed by
          FractionFormat.  To parse a fraction from a string,
          simply call the parse method:";"class";"FractionFormat";"org.apache.commons.math3.fraction.FractionFormat"
"math/doc/manual3.1/math/userguide/random.html";"/html/body/div[4]/div/div/div[2]/dl/dd[2]/tt[1]";"RandomDataImpl";"nextSecureXxx methods in the RandomDataImpl implementation of";"It is possible for a sequence of numbers to appear random, but
    nonetheless to be predictable based on the algorithm used to generate the
    sequence. If in addition to randomness, strong unpredictability is
    required, it is best to use a  
    
    secure random number generator to generate values (or strings). The
    nextSecureXxx methods in the RandomDataImpl implementation of
    the RandomData interface use the JDK SecureRandom
    PRNG to generate cryptographically secure sequences.  The 
    setSecureAlgorithm method allows you to change the underlying
    PRNG. These methods are much slower than the corresponding
    ""non-secure"" versions, so they should only be used when cryptographic
    security is required.  The ISAACRandom class implements a fast
    cryptographically secure pseudorandom numbers generator.";"class";"RandomDataImpl";"org.apache.commons.math3.random.RandomDataImpl"
"math/doc/manual3.1/math/userguide/optimization.html";"/html/body/div[4]/div/div/div[1]/ul[2]/li[4]/a[1]";"DifferentiableMultivariateVectorOptimizer";"DifferentiableMultivariateVectorOptimizer for";"DifferentiableMultivariateVectorOptimizer for 
              differentiable multivariate vectorial functions";"class";"DifferentiableMultivariateVectorOptimizer";"org.apache.commons.math3.optimization.DifferentiableMultivariateVectorOptimizer"
"math/doc/manual3.1/math/userguide/random.html";"/html/body/div[4]/div/div/div[2]/dl/dd[2]/tt[2]";"RandomData";"the RandomData interface use the JDK SecureRandom";"It is possible for a sequence of numbers to appear random, but
    nonetheless to be predictable based on the algorithm used to generate the
    sequence. If in addition to randomness, strong unpredictability is
    required, it is best to use a  
    
    secure random number generator to generate values (or strings). The
    nextSecureXxx methods in the RandomDataImpl implementation of
    the RandomData interface use the JDK SecureRandom
    PRNG to generate cryptographically secure sequences.  The 
    setSecureAlgorithm method allows you to change the underlying
    PRNG. These methods are much slower than the corresponding
    ""non-secure"" versions, so they should only be used when cryptographic
    security is required.  The ISAACRandom class implements a fast
    cryptographically secure pseudorandom numbers generator.";"class";"RandomData";"org.apache.commons.math3.random.RandomData"
"math/doc/manual3.1/math/userguide/random.html";"/html/body/div[4]/div/div/div[2]/dl/dd[2]/tt[4]";"setSecureAlgorithm";"setSecureAlgorithm method allows you to change the underlying";"It is possible for a sequence of numbers to appear random, but
    nonetheless to be predictable based on the algorithm used to generate the
    sequence. If in addition to randomness, strong unpredictability is
    required, it is best to use a  
    
    secure random number generator to generate values (or strings). The
    nextSecureXxx methods in the RandomDataImpl implementation of
    the RandomData interface use the JDK SecureRandom
    PRNG to generate cryptographically secure sequences.  The 
    setSecureAlgorithm method allows you to change the underlying
    PRNG. These methods are much slower than the corresponding
    ""non-secure"" versions, so they should only be used when cryptographic
    security is required.  The ISAACRandom class implements a fast
    cryptographically secure pseudorandom numbers generator.";"class";"setSecureAlgorithm";"org.apache.commons.math3.random.RandomDataImpl.setSecureAlgorithm"
"math/doc/manual3.1/math/userguide/random.html";"/html/body/div[4]/div/div/div[2]/dl/dd[2]/tt[5]";"ISAACRandom";"The ISAACRandom class implements a fast";"It is possible for a sequence of numbers to appear random, but
    nonetheless to be predictable based on the algorithm used to generate the
    sequence. If in addition to randomness, strong unpredictability is
    required, it is best to use a  
    
    secure random number generator to generate values (or strings). The
    nextSecureXxx methods in the RandomDataImpl implementation of
    the RandomData interface use the JDK SecureRandom
    PRNG to generate cryptographically secure sequences.  The 
    setSecureAlgorithm method allows you to change the underlying
    PRNG. These methods are much slower than the corresponding
    ""non-secure"" versions, so they should only be used when cryptographic
    security is required.  The ISAACRandom class implements a fast
    cryptographically secure pseudorandom numbers generator.";"class";"ISAACRandom";"org.apache.commons.math3.random.ISAACRandom"
"math/doc/manual3.1/math/userguide/random.html";"/html/body/div[4]/div/div/div[2]/dl/dd[3]/tt[1]";"RandomDataImpl";"By default, the implementation provided in RandomDataImpl";"By default, the implementation provided in RandomDataImpl
    uses the JDK-provided PRNG.  Like most other PRNGs, the JDK generator
    generates sequences of random numbers based on an initial ""seed value"".
    For the non-secure methods, starting with the same seed always produces the
    same sequence of values.  Secure sequences started with the same seeds will
    diverge. When a new RandomDataImpl is created, the underlying
    random number generators are not initialized.  The first
    call to a data generation method, or to a  reSeed() method
    initializes the appropriate generator.  If you do not explicitly seed the
    generator, it is by default seeded with the current time in milliseconds.
    Therefore, to generate sequences of random data values, you should always
    instantiate one  RandomDataImpl and use it
    repeatedly instead of creating new instances for subsequent values in the
    sequence.  For example, the following will generate a random sequence of 50
    long integers between 1 and 1,000,000, using the current time in
    milliseconds as the seed for the JDK PRNG:
    
RandomData randomData = new RandomDataImpl(); 
for (int i = 0; i < 1000; i++) {
    value = randomData.nextLong(1, 1000000);
}
    
    The following will not in general produce a good random sequence, since the
    PRNG is reseeded each time through the loop with the current time in
    milliseconds:
    
for (int i = 0; i < 1000; i++) {
    RandomDataImpl randomData = new RandomDataImpl(); 
    value = randomData.nextLong(1, 1000000);
}
    
    The following will produce the same random sequence each time it is
    executed:
    
RandomData randomData = new RandomDataImpl(); 
randomData.reSeed(1000);
for (int i = 0; i = 1000; i++) {
    value = randomData.nextLong(1, 1000000);
}
    
    The following will produce a different random sequence each time it is
     executed. 
    
RandomData randomData = new RandomDataImpl(); 
randomData.reSeedSecure(1000);
for (int i = 0; i < 1000; i++) {
    value = randomData.nextSecureLong(1, 1000000);
}";"class";"RandomDataImpl";"org.apache.commons.math3.random.RandomDataImpl"
"math/doc/manual3.1/math/userguide/optimization.html";"/html/body/div[4]/div/div/div[1]/p[5]/a[3]";"LeastSquaresConverter";"LeastSquaresConverter helper class.";"Despite there are only four types of supported optimizers, it is possible to optimize
        a transform a 
        non-differentiable multivariate vectorial function by converting it to a 
        non-differentiable multivariate real function thanks to the 
        LeastSquaresConverter helper class. The transformed function can be optimized using
        any implementation of the 
        MultivariateOptimizer interface.";"class";"LeastSquaresConverter";"org.apache.commons.math3.optimization.LeastSquaresConverter"
"math/doc/manual3.1/math/userguide/random.html";"/html/body/div[4]/div/div/div[2]/dl/dd[3]/tt[2]";"RandomDataImpl";"When a new RandomDataImpl is created, the underlying";"By default, the implementation provided in RandomDataImpl
    uses the JDK-provided PRNG.  Like most other PRNGs, the JDK generator
    generates sequences of random numbers based on an initial ""seed value"".
    For the non-secure methods, starting with the same seed always produces the
    same sequence of values.  Secure sequences started with the same seeds will
    diverge. When a new RandomDataImpl is created, the underlying
    random number generators are not initialized.  The first
    call to a data generation method, or to a  reSeed() method
    initializes the appropriate generator.  If you do not explicitly seed the
    generator, it is by default seeded with the current time in milliseconds.
    Therefore, to generate sequences of random data values, you should always
    instantiate one  RandomDataImpl and use it
    repeatedly instead of creating new instances for subsequent values in the
    sequence.  For example, the following will generate a random sequence of 50
    long integers between 1 and 1,000,000, using the current time in
    milliseconds as the seed for the JDK PRNG:
    
RandomData randomData = new RandomDataImpl(); 
for (int i = 0; i < 1000; i++) {
    value = randomData.nextLong(1, 1000000);
}
    
    The following will not in general produce a good random sequence, since the
    PRNG is reseeded each time through the loop with the current time in
    milliseconds:
    
for (int i = 0; i < 1000; i++) {
    RandomDataImpl randomData = new RandomDataImpl(); 
    value = randomData.nextLong(1, 1000000);
}
    
    The following will produce the same random sequence each time it is
    executed:
    
RandomData randomData = new RandomDataImpl(); 
randomData.reSeed(1000);
for (int i = 0; i = 1000; i++) {
    value = randomData.nextLong(1, 1000000);
}
    
    The following will produce a different random sequence each time it is
     executed. 
    
RandomData randomData = new RandomDataImpl(); 
randomData.reSeedSecure(1000);
for (int i = 0; i < 1000; i++) {
    value = randomData.nextSecureLong(1, 1000000);
}";"class";"RandomDataImpl";"org.apache.commons.math3.random.RandomDataImpl"
"math/doc/manual3.1/math/userguide/optimization.html";"/html/body/div[4]/div/div/div[1]/p[5]/a[4]";"MultivariateOptimizer";"MultivariateOptimizer interface.";"Despite there are only four types of supported optimizers, it is possible to optimize
        a transform a 
        non-differentiable multivariate vectorial function by converting it to a 
        non-differentiable multivariate real function thanks to the 
        LeastSquaresConverter helper class. The transformed function can be optimized using
        any implementation of the 
        MultivariateOptimizer interface.";"class";"MultivariateOptimizer";"org.apache.commons.math3.optimization.MultivariateOptimizer"
"math/doc/manual3.1/math/userguide/optimization.html";"/html/body/div[4]/div/div/div[2]/p[1]/a";"UnivariateOptimizer";"UnivariateOptimizer is used to find the minimal values of a univariate real-valued";"A 
          UnivariateOptimizer is used to find the minimal values of a univariate real-valued
          function f.";"class";"UnivariateOptimizer";"org.apache.commons.math3.optim.univariate.UnivariateOptimizer"
"math/doc/manual3.1/math/userguide/random.html";"/html/body/div[4]/div/div/div[2]/dl/dd[3]/tt[4]";"RandomDataImpl";"instantiate one  RandomDataImpl and use it";"By default, the implementation provided in RandomDataImpl
    uses the JDK-provided PRNG.  Like most other PRNGs, the JDK generator
    generates sequences of random numbers based on an initial ""seed value"".
    For the non-secure methods, starting with the same seed always produces the
    same sequence of values.  Secure sequences started with the same seeds will
    diverge. When a new RandomDataImpl is created, the underlying
    random number generators are not initialized.  The first
    call to a data generation method, or to a  reSeed() method
    initializes the appropriate generator.  If you do not explicitly seed the
    generator, it is by default seeded with the current time in milliseconds.
    Therefore, to generate sequences of random data values, you should always
    instantiate one  RandomDataImpl and use it
    repeatedly instead of creating new instances for subsequent values in the
    sequence.  For example, the following will generate a random sequence of 50
    long integers between 1 and 1,000,000, using the current time in
    milliseconds as the seed for the JDK PRNG:
    
RandomData randomData = new RandomDataImpl(); 
for (int i = 0; i < 1000; i++) {
    value = randomData.nextLong(1, 1000000);
}
    
    The following will not in general produce a good random sequence, since the
    PRNG is reseeded each time through the loop with the current time in
    milliseconds:
    
for (int i = 0; i < 1000; i++) {
    RandomDataImpl randomData = new RandomDataImpl(); 
    value = randomData.nextLong(1, 1000000);
}
    
    The following will produce the same random sequence each time it is
    executed:
    
RandomData randomData = new RandomDataImpl(); 
randomData.reSeed(1000);
for (int i = 0; i = 1000; i++) {
    value = randomData.nextLong(1, 1000000);
}
    
    The following will produce a different random sequence each time it is
     executed. 
    
RandomData randomData = new RandomDataImpl(); 
randomData.reSeedSecure(1000);
for (int i = 0; i < 1000; i++) {
    value = randomData.nextSecureLong(1, 1000000);
}";"class";"RandomDataImpl";"org.apache.commons.math3.random.RandomDataImpl"
"math/doc/manual3.1/math/userguide/special.html";"/html/body/div[4]/div/div/div[3]/div[2]/p/tt";"Gamma.logGamma(x)";"Gamma.logGamma(x) computes the natural logarithm of the Gamma function, log Γ(x), for x > 0 (see MathWorld, DLMF).";"Gamma.logGamma(x) computes the natural logarithm of the Gamma function, log Γ(x), for x > 0 (see MathWorld, DLMF). The accuracy of the Commons-Math implementation is assessed by comparaison with high precision values computed with the Maxima Computer Algebra System.";"class";"Gamma";"org.apache.commons.math3.special.Gamma"
"math/doc/manual3.1/math/userguide/special.html";"/html/body/div[4]/div/div/div[3]/div[2]/p/tt";"Gamma.logGamma(x)";"Gamma.logGamma(x) computes the natural logarithm of the Gamma function, log Γ(x), for x > 0 (see MathWorld, DLMF).";"Gamma.logGamma(x) computes the natural logarithm of the Gamma function, log Γ(x), for x > 0 (see MathWorld, DLMF). The accuracy of the Commons-Math implementation is assessed by comparaison with high precision values computed with the Maxima Computer Algebra System.";"method";"logGamma";"org.apache.commons.math3.special.Gamma.logGamma"
"math/doc/manual3.1/math/userguide/random.html";"/html/body/div[4]/div/div/div[3]/p[1]/a[1]";"UncorrelatedRandomVectorGenerator";"UncorrelatedRandomVectorGenerator class simplifies this";"Some algorithms require random vectors instead of random scalars. When the
    components of these vectors are uncorrelated, they may be generated simply
    one at a time and packed together in the vector. The 
    UncorrelatedRandomVectorGenerator class simplifies this
    process by setting the mean and deviation of each component once and
    generating complete vectors. When the components are correlated however,
    generating them is much more difficult. The 
    CorrelatedRandomVectorGenerator class provides this service. In this
    case, the user must set up a complete covariance matrix instead of a simple
    standard deviations vector. This matrix gathers both the variance and the
    correlation information of the probability law.";"class";"UncorrelatedRandomVectorGenerator";"org.apache.commons.math3.random.UncorrelatedRandomVectorGenerator"
"math/doc/manual3.1/math/userguide/optimization.html";"/html/body/div[4]/div/div/div[2]/p[2]/tt[2]";"optimize";"finding algorithms is replaced by optimize methods.";"These algorithms usage is very similar to root-finding algorithms usage explained
          in the analysis package. The main difference is that the solve methods in root
          finding algorithms is replaced by optimize methods.";"unknown";"optimize";"org.apache.commons.math3.optim.univariate.UnivariateOptimizer.optimize"
"math/doc/manual3.1/math/userguide/random.html";"/html/body/div[4]/div/div/div[3]/p[1]/a[2]";"CorrelatedRandomVectorGenerator";"CorrelatedRandomVectorGenerator class provides this service.";"Some algorithms require random vectors instead of random scalars. When the
    components of these vectors are uncorrelated, they may be generated simply
    one at a time and packed together in the vector. The 
    UncorrelatedRandomVectorGenerator class simplifies this
    process by setting the mean and deviation of each component once and
    generating complete vectors. When the components are correlated however,
    generating them is much more difficult. The 
    CorrelatedRandomVectorGenerator class provides this service. In this
    case, the user must set up a complete covariance matrix instead of a simple
    standard deviations vector. This matrix gathers both the variance and the
    correlation information of the probability law.";"class";"CorrelatedRandomVectorGenerator";"org.apache.commons.math3.random.CorrelatedRandomVectorGenerator"
"math/doc/manual3.1/math/userguide/random.html";"/html/body/div[4]/div/div/div[3]/p[3]/a[1]";"UniformRandomGenerator";"UniformRandomGenerator";"In addition to multivariate normal distributions, correlated vectors from multivariate uniform
    distributions can be generated by creating a
    UniformRandomGenerator
    in place of the 
    GaussianRandomGenerator above.  More generally, any
    NormalizedRandomGenerator
    may be used.";"class";"UniformRandomGenerator";"org.apache.commons.math3.random.UniformRandomGenerator"
"math/doc/manual3.1/math/userguide/random.html";"/html/body/div[4]/div/div/div[3]/p[3]/tt";"GaussianRandomGenerator";"GaussianRandomGenerator above.";"In addition to multivariate normal distributions, correlated vectors from multivariate uniform
    distributions can be generated by creating a
    UniformRandomGenerator
    in place of the 
    GaussianRandomGenerator above.  More generally, any
    NormalizedRandomGenerator
    may be used.";"class";"GaussianRandomGenerator";"org.apache.commons.math3.random.GaussianRandomGenerator"
"math/doc/manual3.1/math/userguide/special.html";"/html/body/div[4]/div/div/div[3]/div[3]/p/tt";"Gamma.regularizedGammaP(a, x)";"Gamma.regularizedGammaP(a, x) computes the value of the regularized Gamma function, P(a, x) (see MathWorld).";"Gamma.regularizedGammaP(a, x) computes the value of the regularized Gamma function, P(a, x) (see MathWorld).";"class";"Gamma";"org.apache.commons.math3.special.Gamma"
"math/doc/manual3.1/math/userguide/random.html";"/html/body/div[4]/div/div/div[3]/p[3]/a[2]";"NormalizedRandomGenerator";"NormalizedRandomGenerator";"In addition to multivariate normal distributions, correlated vectors from multivariate uniform
    distributions can be generated by creating a
    UniformRandomGenerator
    in place of the 
    GaussianRandomGenerator above.  More generally, any
    NormalizedRandomGenerator
    may be used.";"class";"NormalizedRandomGenerator";"org.apache.commons.math3.random.NormalizedRandomGenerator"
"math/doc/manual3.1/math/userguide/special.html";"/html/body/div[4]/div/div/div[3]/div[3]/p/tt";"Gamma.regularizedGammaP(a, x)";"Gamma.regularizedGammaP(a, x) computes the value of the regularized Gamma function, P(a, x) (see MathWorld).";"Gamma.regularizedGammaP(a, x) computes the value of the regularized Gamma function, P(a, x) (see MathWorld).";"method";"regularizedGammaP";"org.apache.commons.math3.special.Gamma.regularizedGammaP"
"math/doc/manual3.1/math/userguide/random.html";"/html/body/div[4]/div/div/div[4]/p/tt[1]";"nextHexString";"The methods nextHexString and nextSecureHexString";"The methods nextHexString and nextSecureHexString
    can be used to generate random strings of hexadecimal characters.  Both
    of these methods produce sequences of strings with good dispersion
    properties.  The difference between the two methods is that the second is
    cryptographically secure.  Specifically, the implementation of 
    nextHexString(n) in RandomDataImpl uses the
    following simple algorithm to generate a string of n hex digits:";"class";"nextHexString";"org.apache.commons.math3.random.RandomDataImpl.nextHexString"
"math/doc/manual3.1/math/userguide/special.html";"/html/body/div[4]/div/div/div[4]/p/a";"Beta";"Beta contains several useful functions involving the Beta Function.";"Beta contains several useful functions involving the Beta Function.";"unknown";"Beta";"org.apache.commons.math3.special.Beta"
"math/doc/manual3.1/math/userguide/random.html";"/html/body/div[4]/div/div/div[4]/p/tt[2]";"nextSecureHexString";"The methods nextHexString and nextSecureHexString";"The methods nextHexString and nextSecureHexString
    can be used to generate random strings of hexadecimal characters.  Both
    of these methods produce sequences of strings with good dispersion
    properties.  The difference between the two methods is that the second is
    cryptographically secure.  Specifically, the implementation of 
    nextHexString(n) in RandomDataImpl uses the
    following simple algorithm to generate a string of n hex digits:";"class";"nextSecureHexString";"org.apache.commons.math3.random.RandomDataImpl.nextSecureHexString"
"math/doc/manual3.1/math/userguide/optimization.html";"/html/body/div[4]/div/div/div[4]/p[5]/a[1]";"MultivariateFunctionMappingAdapter";"MultivariateFunctionMappingAdapter and";"The first two simplex-based methods do not handle simple bounds constraints by themselves.
          However there are two adapters(
          MultivariateFunctionMappingAdapter and 
          MultivariateFunctionPenaltyAdapter) that can be used to wrap the user function in
          such a way the wrapped function is unbounded and can be used with these optimizers, despite
          the fact the underlying function is still bounded and will be called only with feasible
          points that fulfill the constraints. Note however that using these adapters are only a
          poor man solutions to simple bounds optimization constraints. Better solutions are to use an
          optimizer that directly supports simple bounds. Some caveats of the mapping adapter
          solution are that";"class";"MultivariateFunctionMappingAdapter";"org.apache.commons.math3.optimization.direct.MultivariateFunctionMappingAdapter"
"math/doc/manual3.1/math/userguide/special.html";"/html/body/div[4]/div/div/div[4]/div[1]/p/tt";"Beta.logBeta(a, b)";"Beta.logBeta(a, b) computes the value of the natural logarithm of the Beta function, log B(a, b).";"Beta.logBeta(a, b) computes the value of the natural logarithm of the Beta function, log B(a, b). (see MathWorld, DLMF). The accuracy of the Commons-Math implementation is assessed by comparaison with high precision values computed with the Maxima Computer Algebra System.";"class";"Beta";"org.apache.commons.math3.special.Beta"
"math/doc/manual3.1/math/userguide/special.html";"/html/body/div[4]/div/div/div[4]/div[1]/p/tt";"Beta.logBeta(a, b)";"Beta.logBeta(a, b) computes the value of the natural logarithm of the Beta function, log B(a, b).";"Beta.logBeta(a, b) computes the value of the natural logarithm of the Beta function, log B(a, b). (see MathWorld, DLMF). The accuracy of the Commons-Math implementation is assessed by comparaison with high precision values computed with the Maxima Computer Algebra System.";"method";"logBeta";"org.apache.commons.math3.special.Beta.logBeta"
"math/doc/manual3.1/math/userguide/random.html";"/html/body/div[4]/div/div/div[4]/p/tt[3]";"nextHexString(n)";"nextHexString(n) in RandomDataImpl uses the";"The methods nextHexString and nextSecureHexString
    can be used to generate random strings of hexadecimal characters.  Both
    of these methods produce sequences of strings with good dispersion
    properties.  The difference between the two methods is that the second is
    cryptographically secure.  Specifically, the implementation of 
    nextHexString(n) in RandomDataImpl uses the
    following simple algorithm to generate a string of n hex digits:";"method";"nextHexString";"org.apache.commons.math3.random.RandomDataImpl.nextHexString"
