Adding and Accessing Elements,Collection,false
Adding and Accessing Elements,Iterator,false
Removing Elements,Queue,true
Generic Queue,Object,false
Generic Queue,Queue,true
More Details in the JavaDoc,Queue,false
equals(),ArrayList,false
equals(),String,false
hashCode(),HashMap,true
hashCode(),HashSet,true
Java Collections Tutorial,Collections,false
Java Collections and Generics,Collections,false
Java Collections and the equals() and hashCode() Methods,Collections,false
Java Collections and the equals() and hashCode() Methods,Object,false
Java's Deque Interface,Deque,false
Java's Deque Interface,Queue,false
Deque Implementations,Queue,false
Deque Implementations,Collection,false
Deque Implementations,Deque,true
Deque Implementations,LinkedList,true
Deque Implementations,ArrayDeque,true
Adding and Accessing Elements,Deque,true
Adding and Accessing Elements,Iterator,false
Removing Elements,Deque,true
Generic Deque,Object,false
Generic Deque,Deque,true
More Details in the JavaDoc,Deque,false
Java's Collection Interface,Collection,false
Adding and Removing Elements,Collection,true
Adding and Removing Elements,Set,false
Adding and Removing Elements,List,false
Adding and Removing Elements - part 2,Collection,true
Checking if a Collection Contains a Certain Element,Collection,true
Collection Size,Collection,false
Iterating a Collection,Iterator,true
Java's SortedMap Interface,SortedMap,true
Java's SortedMap Interface,Map,false
Java's SortedMap Interface,Comparable,false
Java's SortedMap Interface,Comparator,false
Java's SortedMap Interface,SortedSet,false
Java's SortedMap Interface,TreeMap,true
More Details in the JavaDoc,TreeMap,false
More Details in the JavaDoc,SortedMap,false
Java's SortedSet Interface,SortedSet,true
Java's SortedSet Interface,Set,true
Java's SortedSet Interface,Comparable,false
Java's SortedSet Interface,Comparator,false
Java's SortedSet Interface,TreeSet,true
More Details in the JavaDoc,TreeSet,false
More Details in the JavaDoc,SortedSet,false
Java's NavigableSet Interface,NavigableSet,true
Java's NavigableSet Interface,SortedSet,true
Java's NavigableSet Interface,TreeSet,false
descendingIterator() and descendingSet(),NavigableSet,true
descendingIterator() and descendingSet(),SortedSet,false
"headSet(), tailSet() and subSet()",NavigableSet,true
"ceiling(), floor(), higher(), and lower()",NavigableSet,true
pollFirst() and pollLast(),NavigableSet,true
Generic Collections in Java,Collections,false
Generic Collections in Java,String,false
Generic Collections in Java,List,false
Generic Collections in Java,Set,false
